case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C2,Median-ranking case,LM three-component-reaction screen,0.23148148148148148,250,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2324074074074074,251,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23333333333333334,252,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23425925925925925,253,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2351851851851852,254,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2361111111111111,255,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23703703703703705,256,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23796296296296296,257,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.2388888888888889,258,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.23981481481481481,259,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.24074074074074073,260,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.24166666666666667,261,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.24259259259259258,262,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.24351851851851852,263,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.24444444444444444,264,0.0,#4C78A8
